[2026-03-21 02:01:51] [PACKET] SERVER -> CLIENT | Unknown packet | Len=12 | C1 0C FB 06 01 40 66 1C 00 00 00 00 
[2026-03-21 02:01:51] [PACKET] SERVER -> CLIENT | Unknown packet | Len=36 | C1 24 FB 0F 01 7D 5F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 
[2026-03-21 02:01:52] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | C1 08 FB 05 01 F5 00 00 
[2026-03-21 02:01:52] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | C1 08 FB 07 01 F5 00 00 
[2026-03-21 02:01:52] [PACKET] SERVER -> CLIENT | Unknown packet | Len=12 | C1 0C FB 06 01 40 66 1C 00 00 00 00 
[2026-03-21 02:01:52] [PACKET] SERVER -> CLIENT | Unknown packet | Len=36 | C1 24 FB 0F 01 7D 5F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 
[2026-03-21 02:01:53] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | W
[2026-03-21 02:01:53] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | W
[2026-03-21 02:01:53] [PACKET] SERVER -> CLIENT | Unknown packet | Len=12 | C1 0C FB 06 01 40 66 1C 00 00 00 00 
[2026-03-21 02:01:53] [PACKET] SERVER -> CLIENT | Unknown packet | Len=36 | C1 24 FB 0F 01 7D 5F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 
[2026-03-21 02:01:54] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | W
[2026-03-21 02:01:54] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | W
[2026-03-21 02:01:54] [PACKET] SERVER -> CLIENT | Unknown packet | Len=12 | _
[2026-03-21 02:01:54] [PACKET] SERVER -> CLIENT | Unknown packet | Len=36 | C1 24 FB 0F 01 7D 5F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 
[2026-03-21 02:01:55] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | C1 08 FB 05 01 F5 00 00 
[2026-03-21 02:01:55] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | C1 08 FB 07 01 F5 00 00 
[2026-03-21 02:01:55] [PACKET] SERVER -> CLIENT | Unknown packet | Len=12 | C1 0C FB 06 01 40 66 1C 00 00 00 00 
[2026-03-21 02:01:55] [PACKET] SERVER -> CLIENT | Unknown packet | Len=36 | C1 24 FB 0F 01 7D 5F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 
[2026-03-21 02:01:55] [PACKET] CLIENT -> SERVER | Client Ping | Len=17 | C3 11 03 0E 35 7B C3 91 55 8B 56 48 FF A4 81 5D 8A 
